JOB START
Fri Aug  1 00:32:23 EDT 2025
WORKING DIRECTORY
/ihome/pgivi/jow243/code/qml4pde/CMLmodels
Modules loaded.
Python env loaded.
/ihome/pgivi/jow243/.conda/envs/mlenv/bin/python
Calling training script...
importing python packages
Input detected for number of grid points.
==> NGRID has been set to 15
Data paths: mesh_141.npy tmesh_141.npy solution_trajectories_141.npy
DOWNSAMPLE has been hardcoded to 10. Make sure your dataset has been generated on your desired mesh.
Equivalent Number of Operations on State Vector
End of epoch 0, avg loss: 68.50156
End of epoch 760, avg loss: 0.03537
End of epoch 770, avg loss: 0.03604
End of epoch 780, avg loss: 0.03886
End of epoch 790, avg loss: 0.03484
End of epoch 800, avg loss: 0.03604
End of epoch 810, avg loss: 0.03475
End of epoch 820, avg loss: 0.03269
End of epoch 830, avg loss: 0.03310
End of epoch 840, avg loss: 0.03270
End of epoch 850, avg loss: 0.03269
End of epoch 860, avg loss: 0.03300
End of epoch 870, avg loss: 0.03342
End of epoch 880, avg loss: 0.03221
End of epoch 890, avg loss: 0.03352
End of epoch 900, avg loss: 0.03412
End of epoch 910, avg loss: 0.03578
End of epoch 920, avg loss: 0.03183
End of epoch 930, avg loss: 0.03790
End of epoch 940, avg loss: 0.03134
End of epoch 950, avg loss: 0.03365
End of epoch 960, avg loss: 0.03437
End of epoch 970, avg loss: 0.03187
End of epoch 980, avg loss: 0.02589
End of epoch 990, avg loss: 0.03191
End of epoch 1000, avg loss: 0.02558
End of epoch 1010, avg loss: 0.02796
End of epoch 1020, avg loss: 0.02503
End of epoch 1030, avg loss: 0.02580
End of epoch 1040, avg loss: 0.02497
End of epoch 1050, avg loss: 0.02503
End of epoch 1060, avg loss: 0.02811
End of epoch 1070, avg loss: 0.02447
End of epoch 1080, avg loss: 0.02453
End of epoch 1090, avg loss: 0.02395
End of epoch 1100, avg loss: 0.02404
End of epoch 1110, avg loss: 0.02552
End of epoch 1120, avg loss: 0.02495
End of epoch 1130, avg loss: 0.02402
End of epoch 1140, avg loss: 0.02363
End of epoch 1150, avg loss: 0.02470
End of epoch 1160, avg loss: 0.02337
End of epoch 1170, avg loss: 0.02659
End of epoch 1180, avg loss: 0.02361
End of epoch 1190, avg loss: 0.02319
End of epoch 1200, avg loss: 0.02445
End of epoch 1210, avg loss: 0.02452
End of epoch 1220, avg loss: 0.02403
End of epoch 1230, avg loss: 0.02358
End of epoch 1240, avg loss: 0.02516
End of epoch 1250, avg loss: 0.02394
End of epoch 1260, avg loss: 0.02550
End of epoch 1270, avg loss: 0.02640
End of epoch 1280, avg loss: 0.02332
End of epoch 1290, avg loss: 0.02417
End of epoch 1300, avg loss: 0.02522
End of epoch 1310, avg loss: 0.02313
End of epoch 1320, avg loss: 0.02311
End of epoch 1330, avg loss: 0.02490
End of epoch 1340, avg loss: 0.02337
End of epoch 1350, avg loss: 0.02348
End of epoch 1360, avg loss: 0.02330
End of epoch 1370, avg loss: 0.02310
End of epoch 1380, avg loss: 0.02456
End of epoch 1390, avg loss: 0.02424
End of epoch 1400, avg loss: 0.02391
End of epoch 1410, avg loss: 0.02539
End of epoch 1420, avg loss: 0.02376
End of epoch 1430, avg loss: 0.02402
End of epoch 1440, avg loss: 0.02442
End of epoch 1450, avg loss: 0.02404
End of epoch 1460, avg loss: 0.02375
End of epoch 1470, avg loss: 0.02328
End of epoch 1480, avg loss: 0.02377
End of epoch 1490, avg loss: 0.02588
Last Epoch Loss: 0.023460943
--Return--
> /ihome/pgivi/jow243/code/qml4pde/CMLmodels/train_deeponet.py(305)train_model()->None
-> breakpoint()
(Pdb) 
JOB END
Fri Aug  1 03:03:53 EDT 2025
