JOB START
Thu Aug  7 20:29:20 EDT 2025
WORKING DIRECTORY
/ihome/pgivi/jow243/code/qml4pde/QMLmodels
Modules loaded.
Python env loaded.
/ihome/pgivi/jow243/.conda/envs/mlenv/bin/python
Calling training script...
==> NQUBITS has been set to 11
DOWNSAMPLE=10 for 11 grid points
shape_of_branch_params=(11, 11, 2), shape_of_trunk_params=(11, 11)
Begin training loop...
End of epoch 0, avg loss: 0.27224
End of epoch 1410, avg loss: 0.00617
End of epoch 1420, avg loss: 0.00593
End of epoch 1430, avg loss: 0.00610
End of epoch 1440, avg loss: 0.00603
End of epoch 1450, avg loss: 0.00612
End of epoch 1460, avg loss: 0.00602
End of epoch 1470, avg loss: 0.00611
End of epoch 1480, avg loss: 0.00594
End of epoch 1490, avg loss: 0.00590
Last Epoch Loss: 0.0060704895
--Return--
> /ihome/pgivi/jow243/code/qml4pde/QMLmodels/train_pqoc_heat.py(268)train_model()->None
-> breakpoint()
(Pdb) 
JOB END
Thu Aug  7 22:49:22 EDT 2025
