JOB START
Tue Jul 29 22:48:09 EDT 2025
WORKING DIRECTORY
/ihome/pgivi/jow243/code/qml4pde/QMLmodels
Modules loaded.
Python env loaded.
/ihome/pgivi/jow243/.conda/envs/mlenv/bin/python
Calling training script...
importing python packages
Input detected for number of grid points.
==> NQUBITS has been set to 15
Diff method selected: backprop
Data paths: mesh_141.npy tmesh_141.npy solution_trajectories_141.npy
DOWNSAMPLE has been hardcoded to 10. Make sure your dataset has been generated on your desired mesh.
Training dataset: burgers
shape_of_branch_params=(15, 15, 3), shape_of_trunk_params=(15, 15)
Begin training loop...
End of epoch 0, avg loss: 0.38585
End of epoch 1290, avg loss: 0.03201
End of epoch 1300, avg loss: 0.03207
End of epoch 1310, avg loss: 0.03208
End of epoch 1320, avg loss: 0.03218
End of epoch 1330, avg loss: 0.03207
End of epoch 1340, avg loss: 0.03206
End of epoch 1350, avg loss: 0.03190
End of epoch 1360, avg loss: 0.03191
End of epoch 1370, avg loss: 0.03180
End of epoch 1380, avg loss: 0.03189
End of epoch 1390, avg loss: 0.03174
End of epoch 1400, avg loss: 0.03201
End of epoch 1410, avg loss: 0.03191
End of epoch 1420, avg loss: 0.03175
End of epoch 1430, avg loss: 0.03173
End of epoch 1440, avg loss: 0.03187
End of epoch 1450, avg loss: 0.03166
End of epoch 1460, avg loss: 0.03200
End of epoch 1470, avg loss: 0.03189
End of epoch 1480, avg loss: 0.03178
End of epoch 1490, avg loss: 0.03166
Last Epoch Loss: 0.031674743
JOB END
Fri Aug  1 08:55:42 EDT 2025
